"","anio_num","mes_num","fecha_mes","promedio_estimulo_magna","promedio_estimulo_premium","promedio_estimulo_diesel","promedio_monto_magna","promedio_monto_premium","promedio_monto_diesel","promedio_cuota_magna","promedio_cuota_premium","promedio_cuota_diesel","promedio_cantidad_magna","promedio_cantidad_premium","promedio_cantidad_diesel"
"1",2020,1,2020-01-01,8.8975,0,10.0625,0.4405,0,0.5475,4.5095,4.18,4.8925,NA,NA,NA
"2",2020,2,2020-02-01,0.238,0,0,0.0118,0,0,4.9382,4.18,5.44,NA,NA,NA
"3",2020,3,2020-03-01,0,0,0,0,0,0,4.95,4.18,5.44,NA,NA,NA
"4",2020,4,2020-04-01,0,0,0,0,0,0,4.95,4.18,5.44,NA,NA,NA
"5",2020,5,2020-05-01,0,0,0,0,0,0,4.95,4.18,5.44,NA,NA,NA
"6",2020,6,2020-06-01,0,0,0,0,0,0,4.95,4.18,5.44,NA,NA,NA
"7",2020,7,2020-07-01,0,0,0,0,0,0,4.95,4.18,5.44,NA,NA,NA
"8",2020,8,2020-08-01,0,0,0,0,0,0,4.95,4.18,5.44,NA,NA,NA
"9",2020,9,2020-09-01,0,0,0,0,0,0,4.95,4.18,5.44,NA,NA,NA
"10",2020,10,2020-10-01,0,0,0,0,0,0,4.95,4.18,5.44,NA,NA,NA
"11",2020,11,2020-11-01,0,0,0,0,0,0,4.95,4.18,5.44,NA,NA,NA
"12",2020,12,2020-12-01,0,0,0,0,0,0,4.95,4.18,5.44,NA,NA,NA
"13",2021,1,2021-01-01,0,0,0,0,0,0,5.1148,4.3192,5.6212,NA,NA,NA
"14",2021,2,2021-02-01,15.0975,0.07,4.175,0.7722,0.003075,0.2346,4.3426,4.316125,5.3866,NA,NA,NA
"15",2021,3,2021-03-01,42.79,10.9275,17.7575,2.188725,0.472,0.998125,2.926075,3.8472,4.623075,NA,NA,NA
"16",2021,4,2021-04-01,31.45,0.893333333333333,3.04333333333333,1.60876666666667,0.0386,0.1712,3.50603333333333,4.2806,5.45,NA,NA,NA
"17",2021,5,2021-05-01,35.66,6.034,14.628,1.8239,0.2606,0.82218,3.2909,4.0586,4.79902,NA,NA,NA
"18",2021,6,2021-06-01,44.6925,17.8625,26.2675,2.286,0.771575,1.4766,2.8288,3.547625,4.1446,NA,NA,NA
"19",2021,7,2021-07-01,51.064,24.584,22.854,2.61182,1.0618,1.2847,2.50298,3.2574,4.3365,NA,NA,NA
"20",2021,8,2021-08-01,49.3625,18.92,18.42,2.524925,0.817125,1.035425,2.589875,3.502075,4.585775,NA,NA,NA
"21",2021,9,2021-09-01,53.8325,24.9425,27.77,2.753375,1.077275,1.56095,2.361425,3.241925,4.06025,NA,NA,NA
"22",2021,10,2021-10-01,75.042,52.304,56.85,3.8382,2.2591,3.19556,1.2766,2.0601,2.42564,NA,NA,NA
"23",2021,11,2021-11-01,71.2475,48.015,52.2525,3.6441,2.073875,2.9372,1.4707,2.245325,2.684,NA,NA,NA
"24",2021,12,2021-12-01,49.19,18.9525,33.3775,2.516,0.81865,1.876225,2.5988,3.50055,3.744975,NA,NA,NA
"25",2022,1,2022-01-01,69.354,42.692,57.586,3.80886,1.9798,3.47536,1.68284,2.6577,2.56004,NA,NA,NA
"26",2022,2,2022-02-01,98.0925,78.8025,84.4375,5.38685,3.65455,5.096075,0.10485,0.98295,0.939325,NA,NA,NA
"27",2022,3,2022-03-01,100,99.285,100,5.4917,4.60435,6.0354,0,0.03315,0,2.278,1.35006666666667,2.64853333333333
"28",2022,4,2022-04-01,100,100,100,5.4917,4.6375,6.0354,0,0,0,1.786625,1.007525,4.1718
"29",2022,5,2022-05-01,100,100,100,5.4917,4.6375,6.0354,0,0,0,4.320875,4.185325,4.6614
"30",2022,6,2022-06-01,100,100,100,5.4917,4.6375,6.0354,0,0,0,6.47876666666667,6.84073333333333,5.9732
"31",2022,7,2022-07-01,100,100,100,5.4917,4.6375,6.0354,0,0,0,3.22136,3.14872,4.17766
"32",2022,8,2022-08-01,95.7475,80.5125,100,5.258075,3.7337,6.0354,0.233625,0.9038,0,0.172025,0,2.044925
"33",2022,9,2022-09-01,76.55,60.1375,100,4.2039,2.78895,6.0354,1.2878,1.84855,0,0,0,1.8906
"34",2022,10,2022-10-01,93.052,85.56,100,5.11006,3.96782,6.0354,0.38164,0.66968,0,0.20868,0.02752,2.78948
"35",2022,11,2022-11-01,71.9175,57.06,97.895,3.949525,2.646225,5.908325,1.542175,1.991275,0.127075,0,0,1.46115
"36",2022,12,2022-12-01,28.01,0,70.185,1.538175,0,4.235825,3.953525,4.6375,1.799575,0,0,0
"37",2023,1,2023-01-01,60.338,39.806,94.306,3.57166,1.98966,6.13486,2.34784,3.00904,0.37064,0,0,0
"38",2023,2,2023-02-01,52.21,31.2775,54.8525,3.0905,1.563425,3.568375,2.829,3.435275,2.937125,0,0,0
"39",2023,3,2023-03-01,44.7325,19.195,42.325,2.6481,0.95965,2.753375,3.2714,4.03905,3.752125,0,0,0
"40",2023,4,2023-04-01,42.2275,25.9525,23.1025,2.4997,1.2971,1.502775,3.4198,3.7016,5.002725,0,0,0
"41",2023,5,2023-05-01,22.4575,0.1975,2.8675,1.3293,0.00985,0.1866,4.5902,4.98885,6.3189,0,0,0
"42",2023,6,2023-06-01,24.285,0.3625,2.1575,1.4375,0.018175,0.1404,4.482,4.980525,6.3651,0,0,0
"43",2023,7,2023-07-01,25.66,6.478,7.112,1.51896,0.3239,0.4628,4.40054,4.6748,6.0427,0,0,0
"44",2023,8,2023-08-01,52.065,35.1925,40.295,3.0819,1.759225,2.621275,2.8376,3.239475,3.884225,0,0,0
"45",2023,9,2023-09-01,52.786,32.802,54.79,3.12462,1.63966,3.5643,2.79488,3.35904,2.9412,0,0,0
"46",2023,10,2023-10-01,22.7125,2.7025,52.6425,1.3445,0.13515,3.42455,4.575,4.86355,3.08095,0,0,0
"47",2023,11,2023-11-01,2.7075,0,21.935,0.1602,0,1.427,5.7593,4.9987,5.0785,0,0,0
"48",2023,12,2023-12-01,0,0,0.865,0,0,0.05635,5.9195,4.9987,6.44915,0,0,0
"49",2024,1,2024-01-01,0.296,0,3.066,0.01822,0,0.20812,6.15698,5.2146,6.57838,0,0,0
"50",2024,2,2024-02-01,9.7775,0,17.41,0.60375,0,1.18165,5.57145,5.2146,5.60485,0,0,0
"51",2024,3,2024-03-01,16.85,0,7.8975,1.04065,0,0.53605,5.13455,5.2146,6.25045,0,0,0
"52",2024,4,2024-04-01,14.2325,0,1.5875,0.878975,0,0.10775,5.296225,5.2146,6.67875,0,0,0
"53",2024,5,2024-05-01,3.7325,0,0,0.2306,0,0,5.9446,5.2146,6.7865,0,0,0
"54",2024,6,2024-06-01,3.164,0,2.278,0.19532,0,0.15468,5.97988,5.2146,6.63182,0,0,0
"55",2024,7,2024-07-01,9.4525,0,3.7025,0.58375,0,0.25125,5.59145,5.2146,6.53525,0,0,0
"56",2024,8,2024-08-01,8.106,0,0,0.50074,0,0,5.67446,5.2146,6.7865,0,0,0
"57",2024,9,2024-09-01,0,0,0,0,0,0,6.1752,5.2146,6.786025,0,0,0
"58",2024,10,2024-10-01,2.07,0,0,0.127775,0,0,6.047425,5.2146,6.7865,0,0,0
"59",2024,11,2024-11-01,0.124,0,0.066,0.00764,0,0.00444,6.16756,5.2146,6.78206,0,0,0
"60",2024,12,2024-12-01,0,0,0,0,0,0,6.1752,5.2146,6.7865,0,0,0
